traj_id,url,clearance,smoothness,path_length,max_acc,maxmin_joint_limit_distance,elbow_length,elbow_smoothness,elbow_max_curvature,elbow_lin_acc,elbow_quat_dist,tool_length,tool_smoothness,tool_max_curvature,tool_lin_acc,tool_quat_dist,wrist_length,wrist_smoothness,wrist_max_curvature,wrist_lin_acc,wrist_quat_dist,h_wrist_bfs,h_bfs_wrist,H_wrist_bfs,imh_wrist_bfs,h_elbow_bfs,h_bfs_elbow,H_elbow_bfs,imh_elbow_bfs,h_tool_bfs,h_bfs_tool,H_tool_bfs,imh_tool_bfs,h_wrist_elbow,h_elbow_wrist,H_wrist_elbow,imh_wrist_elbow,wrist_bfs_dtw,tool_bfs_dtw,elbow_bfs_dtw,wrist_tool_dtw
2014_Sep_17_18_40_09,http://www.youtube.com/watch?v=BedTY1Ghn3g,0.0890712,0.640337,58.5775,1.13898,0.499896,3.09293,0.940011,0.525195,1.59194,11.0336,5.8808,0.790198,3.44428,4.51321,23.2529,4.72425,0.87626,0.704595,3.79452,23.2529,0.608982,0.299097,0.608982,0.327827,0.515607,0.432753,0.515607,0.344197,0.629535,0.251136,0.629535,0.320922,0.321,0.321,0.321,0.251967,86.4196,83.469,100.233,37.6554
2014_Sep_17_18_40_10,http://www.youtube.com/watch?v=T2Wwnqo7EUA,0.116152,0.313524,12.6429,2.79629,0.49687,1.63578,0.365598,0.506517,0.561944,3.41761,2.57397,0.434013,0.734375,1.1066,5.44289,2.03752,0.477481,0.642871,0.861337,5.44289,0.840582,0.517419,0.840582,0.421996,0.652355,0.432753,0.652355,0.357211,0.889186,0.470288,0.889186,0.3787,0.321,0.321,0.321,0.279487,23.7818,22.0226,21.6288,8.62706
2014_Sep_17_18_40_11,http://www.youtube.com/watch?v=bJCNu9jLXrs,0.0812695,0.422691,14.319,0.7509,0.497901,1.37719,0.202299,0.580528,1.92151,3.65181,1.99574,0.407301,0.723613,12.5669,5.10229,1.67678,0.423344,0.659234,4.63779,5.10229,0.603347,0.45766,0.603347,0.394919,0.494596,0.432753,0.494596,0.335635,0.552263,0.432743,0.552263,0.408151,0.321,0.321,0.321,0.267105,24.1166,23.9339,24.904,8.76652
2014_Sep_17_18_40_12,http://www.youtube.com/watch?v=cCdiuSi-nd4,0.0465338,0.76128,25.9599,0.885861,0.491721,1.80034,1.131,0.603397,0.499378,7.98284,3.40666,0.95702,3.12404,9.00557,10.9454,2.75873,1.0284,2.32012,3.64681,10.9454,0.72911,0.354101,0.72911,0.38773,0.620812,0.318069,0.620812,0.399503,0.852749,0.276443,0.852749,0.367744,0.321,0.321,0.321,0.257554,45.928,43.4139,46.718,17.1332
2014_Sep_17_18_40_13,http://www.youtube.com/watch?v=iqg-X16vWEg,0.109156,0.510159,11.9059,0.913274,0.474763,1.1203,1.14126,0.523353,0.517821,3.70037,2.63901,1.02817,0.920787,8.13014,5.86743,1.95915,0.703267,0.822637,3.21719,5.86743,0.535433,0.246974,0.535433,0.320229,0.554115,0.404954,0.554115,0.387664,0.662086,0.29728,0.662086,0.363722,0.321,0.321,0.321,0.260649,17.4469,19.2586,22.6281,8.21363
2014_Sep_17_18_40_14,http://www.youtube.com/watch?v=cp9MhJMMNEM,0.0183454,0.403502,9.11349,0.457302,0.388818,0.78686,0.291344,0.509602,1.41035,2.07199,1.19052,0.58284,0.654191,2.52042,4.99989,0.909897,0.452987,0.550195,1.71654,4.99989,0.391962,0.249749,0.391962,0.241678,0.483201,0.430329,0.483201,0.241361,0.460143,0.204975,0.460143,0.227886,0.321,0.321,0.321,0.223357,9.12026,8.99017,11.8819,5.53436
2014_Sep_17_18_40_15,http://www.youtube.com/watch?v=wk1hxQcKpp0,0.0477319,0.679079,10.0076,0.974297,0.37419,0.800585,0.877301,0.629938,1.04464,2.23774,1.27624,0.822418,2.40112,4.81884,4.93728,0.97916,0.780775,4.25142,2.24635,4.93728,0.282049,0.280638,0.282049,0.196899,0.438503,0.456128,0.456128,0.25525,0.201456,0.192583,0.201456,0.127277,0.321,0.321,0.321,0.146322,9.38378,5.69004,16.5261,6.25073
2014_Sep_17_18_40_16,http://www.youtube.com/watch?v=luwSMu2K41M,0.0584286,0.382098,9.40503,0.912152,0.365675,0.641755,0.0454951,0.630695,2.22302,1.6739,1.05204,0.463425,0.582098,4.8616,4.72827,0.793573,0.207672,0.813638,2.40203,4.72827,0.337139,0.345688,0.345688,0.238664,0.365896,0.456128,0.456128,0.216476,0.367329,0.353181,0.367329,0.225515,0.321,0.321,0.321,0.173852,9.38473,10.084,13.6824,6.13749
2014_Sep_17_18_40_17,http://www.youtube.com/watch?v=bTvwQQ4iAGs,0.0906086,0.165756,12.4414,1.78203,0.495645,0.666178,0.640673,0.614774,0.668539,2.84453,1.64291,0.213319,0.708044,3.44926,6.9831,1.09793,0.313555,1.96962,2.76296,6.9831,0.450029,0.352167,0.450029,0.297033,0.375971,0.449404,0.449404,0.214606,0.586403,0.275773,0.586403,0.335241,0.321,0.321,0.321,0.212552,14.8387,17.9227,14.9334,7.95887
2014_Sep_17_18_40_18,http://www.youtube.com/watch?v=3x7TDLkO_BQ,0.0498463,0.577904,28.7376,0.855116,0.497588,1.25166,0.688559,0.621454,1.26366,6.75173,3.06655,0.991647,0.613453,11.5018,13.2962,2.10822,0.692569,0.635549,4.72524,13.2962,0.467409,0.185593,0.467409,0.321662,0.444158,0.371315,0.444158,0.254515,0.580199,0.123665,0.580199,0.322316,0.321,0.321,0.321,0.253348,44.8723,42.1794,36.4993,19.0602
2014_Sep_17_18_40_19,http://www.youtube.com/watch?v=RFfHsCnvI08,0.0594933,0.390213,7.77211,0.131925,0.494392,0.932409,0.373517,0.583311,1.28847,2.7636,1.22454,0.698866,0.940113,2.83266,1.76375,1.09288,0.650876,1.31052,2.1794,1.76375,0.512998,0.242566,0.512998,0.320988,0.442304,0.352698,0.442304,0.298153,0.50797,0.190997,0.50797,0.301279,0.321,0.321,0.321,0.229153,10.3884,9.37452,9.23548,5.4
2014_Sep_17_18_40_20,http://www.youtube.com/watch?v=J9igqZE8sg0,0.0666129,0.14701,9.98614,0.738622,0.497358,0.892171,0.253005,0.609399,1.1819,2.96988,1.93482,0.248662,0.753697,6.39941,6.60087,1.1256,0.798904,0.678534,2.36649,6.60087,0.529534,0.243614,0.529534,0.321895,0.444767,0.360962,0.444767,0.289879,0.642809,0.164009,0.642809,0.36004,0.321,0.321,0.321,0.219932,13.6736,15.3271,12.0998,6.89488
2014_Sep_17_18_40_21,http://www.youtube.com/watch?v=8HSj_Y94Ai0,0.0687734,1.20336,28.6343,2.62501,0.499706,1.61972,1.03795,0.593419,1.56459,7.16268,3.73127,0.957987,2.00828,14.0365,13.7177,3.00486,1.00876,0.586995,4.02631,13.7177,0.626117,0.385696,0.626117,0.35336,0.47545,0.36536,0.47545,0.331927,0.687925,0.381885,0.687925,0.373182,0.321,0.321,0.321,0.296689,49.0834,49.8064,47.441,15.5304
2014_Sep_17_18_40_22,http://www.youtube.com/watch?v=iVf57XlPQMk,0.0932693,0.304862,16.3231,1.41553,0.499832,1.46396,0.455113,0.510222,1.00633,5.01099,2.21218,0.432511,1.24539,5.50107,9.00767,2.12397,0.505818,0.623322,1.9242,9.00767,0.6147,0.409331,0.6147,0.373808,0.583289,0.440367,0.583289,0.403758,0.675608,0.373377,0.675608,0.355912,0.321,0.321,0.321,0.228415,27.4965,25.5447,31.876,11.5191
2014_Sep_17_18_40_23,http://www.youtube.com/watch?v=3gVMN3Uiy60,0.077724,0.352572,16.112,0.689689,0.497615,1.17687,0.23593,0.511789,1.69409,4.74515,2.07161,0.982048,2.48354,11.7625,6.12384,1.64383,0.564,1.91029,4.58456,6.12384,0.479976,0.397267,0.479976,0.335068,0.47545,0.443771,0.47545,0.337375,0.608073,0.333971,0.608073,0.40951,0.321,0.321,0.321,0.203524,23.5798,27.3231,28.5996,11.0538
