lower1,upper1,lower2,upper2,lower3,upper3,opt1,opt2,opt3,testurl,video,start_img,goal_img
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,m9DXqUFDj4s,//www.youtube.com/embed/vDOTCcEdjJg,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_08,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_08
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,FgEz58e_OFM,//www.youtube.com/embed/TvDwbB-NIiA,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_09,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_09
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,tRkt7z0ZLt0,//www.youtube.com/embed/GcafoheCmyg,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_10,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_10
inefficient,efficient,awkward,elegant,rough,smooth,Red,Green,Yellow,53J8ozTe02I,//www.youtube.com/embed/vd4PTPjkq9g,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_11,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_11
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,tqYf6MTJIMc,//www.youtube.com/embed/XywZg1ijpDU,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_12,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_12
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,T8QI5XaWgv8,//www.youtube.com/embed/H_efc6vJVM8,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_13,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_13
inefficient,efficient,awkward,elegant,rough,smooth,Red,Green,Yellow,gTy_nWfR5AM,//www.youtube.com/embed/PaJVc0fO8f4,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_14,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_14
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,dWciRDwMwvw,//www.youtube.com/embed/3dBNLQKlyUk,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_15,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_15
inefficient,efficient,awkward,elegant,rough,smooth,Green,Yellow,Red,jt4ebTigrVA,//www.youtube.com/embed/fVFsv7uBux4,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_16,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_16
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,53J8ozTe02I,//www.youtube.com/embed/-ZxivkfFkYA,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_17,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_17
