traj_id,url,clearance,smoothness,path_length,max_acc,r_wrist_roll_link_length,r_wrist_roll_link_smoothness,r_wrist_roll_link_max_curvature,r_wrist_roll_link_h_traj_line,r_wrist_roll_link_h_line_traj,r_wrist_roll_link_H_traj_line,r_wrist_roll_link_imh_traj_line,r_wrist_roll_link_DTW,r_wrist_roll_link_lin_acc,r_elbow_flex_link_length,r_elbow_flex_link_smoothness,r_elbow_flex_link_max_curvature,r_elbow_flex_link_h_traj_line,r_elbow_flex_link_h_line_traj,r_elbow_flex_link_H_traj_line,r_elbow_flex_link_imh_traj_line,r_elbow_flex_link_DTW,r_elbow_flex_link_lin_acc,maxmin_joint_limit_distance
2014_Sep_17_18_40_05,http://www.youtube.com/watch?v=R-9TEdK_fxU,0.101027,0.410568,6.28043,0.535489,0.684567,0.940623,2.97299,0.37447,0.196285,0.37447,0.246163,6.53623,1.13286,0.299301,0.271669,0.602093,0.479799,0.488568,0.488568,0.440901,12.0584,0.443558,0.355678
2014_Sep_17_18_40_06,http://www.youtube.com/watch?v=_k3CawUIV40,0.0978012,0.632176,36.8221,0.921825,4.20633,0.780388,0.675677,0.668046,0.299453,0.668046,0.324933,64.9159,3.38861,2.37745,0.829656,0.54763,0.639572,0.433393,0.639572,0.378794,81.2243,0.984759,0.499586
2014_Sep_17_18_40_07,http://www.youtube.com/watch?v=JC9pWPX2ovc,0.0463716,0.298511,11.819,0.32349,1.17477,1.12673,1.42197,0.34433,0.320726,0.34433,0.236693,12.0518,0.555368,1.05439,1.32997,0.594853,0.482561,0.433683,0.482561,0.196291,16.3512,0.572006,0.377805
2014_Sep_17_18_40_08,http://www.youtube.com/watch?v=tPAOYXQaF2g,0.0969817,0.240797,9.04947,0.346167,1.44764,0.447536,0.71913,0.701603,0.411464,0.701603,0.415072,15.9441,2.29709,1.10854,0.478333,0.593336,0.483201,0.43206,0.483201,0.280617,13.0774,0.398274,0.453829
2014_Sep_17_18_40_09,http://www.youtube.com/watch?v=BedTY1Ghn3g,0.0890712,0.640337,58.5775,1.13898,4.72425,0.87626,0.855117,0.608982,0.299145,0.608982,0.327828,86.3052,2.54708,3.09293,0.940011,0.594908,0.515607,0.432753,0.515607,0.342791,99.8797,0.958714,0.499896
2014_Sep_17_18_40_10,http://www.youtube.com/watch?v=T2Wwnqo7EUA,0.116152,0.313524,12.6429,0.503285,2.03752,0.477481,0.597553,0.840498,0.514392,0.840498,0.421988,23.8305,0.846189,1.63578,0.365598,0.506517,0.652355,0.432753,0.652355,0.348767,21.5218,0.561944,0.49687
2014_Sep_17_18_40_11,http://www.youtube.com/watch?v=bJCNu9jLXrs,0.0812695,0.422691,14.319,0.7509,1.67678,0.423344,0.65938,0.603529,0.46071,0.603529,0.394971,24.0607,2.18937,1.37719,0.202299,0.580528,0.494596,0.432753,0.494596,0.328765,24.6513,0.780862,0.497901
2014_Sep_17_18_40_12,http://www.youtube.com/watch?v=cCdiuSi-nd4,0.0465338,0.76128,25.9599,0.885861,2.75873,1.0284,2.32012,0.729086,0.352848,0.729086,0.38773,45.9625,3.63444,1.80034,1.131,0.603397,0.620812,0.318069,0.620812,0.395777,46.7854,0.48314,0.491721
2014_Sep_17_18_40_13,http://www.youtube.com/watch?v=iqg-X16vWEg,0.109156,0.510159,11.9059,0.52068,1.95915,0.703267,0.822637,0.535433,0.247271,0.535433,0.320238,17.5498,1.29958,1.1203,1.14126,0.573464,0.554115,0.404954,0.554115,0.380739,22.765,0.517821,0.474763
2014_Sep_17_18_40_14,http://www.youtube.com/watch?v=cp9MhJMMNEM,0.0183454,0.403502,9.11349,0.307889,0.909897,0.452987,0.652354,0.391924,0.25343,0.391924,0.241782,9.08084,0.650042,0.78686,0.291344,0.603126,0.483201,0.430329,0.483201,0.234877,12.0178,0.443437,0.388818
2014_Sep_17_18_40_15,http://www.youtube.com/watch?v=wk1hxQcKpp0,0.0477319,0.679079,10.0076,0.974297,0.97916,0.780775,4.25142,0.282336,0.285499,0.285499,0.197059,9.38159,2.24897,0.800585,0.877301,0.629938,0.438076,0.456128,0.456128,0.249909,16.2969,1.03488,0.37419
2014_Sep_17_18_40_16,http://www.youtube.com/watch?v=luwSMu2K41M,0.0584286,0.382098,9.40503,0.595043,0.793573,0.207672,0.813638,0.337149,0.34515,0.34515,0.238716,9.36286,0.855207,0.641755,0.0454951,0.630695,0.366194,0.456128,0.456128,0.209978,13.458,0.566225,0.365675
2014_Sep_17_18_40_17,http://www.youtube.com/watch?v=bTvwQQ4iAGs,0.0906086,0.165756,12.4414,0.513528,1.09793,0.313555,1.96962,0.450072,0.35085,0.450072,0.297028,14.8763,1.31536,0.666178,0.640673,0.614774,0.375774,0.449404,0.449404,0.208409,14.7666,0.668539,0.495645
2014_Sep_17_18_40_18,http://www.youtube.com/watch?v=3x7TDLkO_BQ,0.0498463,0.577904,28.7376,0.628584,2.10822,0.692569,0.691779,0.467403,0.185855,0.467403,0.321662,44.7708,1.68037,1.25166,0.688559,0.621454,0.444142,0.371315,0.444142,0.251695,36.3368,0.536023,0.497588
2014_Sep_17_18_40_19,http://www.youtube.com/watch?v=RFfHsCnvI08,0.0594933,0.390213,7.77211,0.0906127,1.09288,0.650876,1.31052,0.512976,0.244653,0.512976,0.32097,10.3092,1.00456,0.932409,0.373517,0.583311,0.442473,0.352698,0.442473,0.287798,9.11812,0.487683,0.494392
2014_Sep_17_18_40_20,http://www.youtube.com/watch?v=J9igqZE8sg0,0.0666129,0.14701,9.98614,0.160242,1.1256,0.798904,0.692538,0.529571,0.240439,0.529571,0.321904,13.5827,0.965769,0.892171,0.253005,0.609399,0.444616,0.360962,0.444616,0.281806,11.9877,0.600935,0.497358
2014_Sep_17_18_40_21,http://www.youtube.com/watch?v=8HSj_Y94Ai0,0.0687734,1.20336,28.6343,0.93556,3.00486,1.00876,0.586989,0.626108,0.385603,0.626108,0.353368,49.1445,4.02631,1.61972,1.03795,0.593419,0.47545,0.36536,0.47545,0.328839,47.5464,0.666388,0.499706
2014_Sep_17_18_40_22,http://www.youtube.com/watch?v=iVf57XlPQMk,0.0932693,0.304862,16.3231,0.414168,2.12397,0.505818,0.623322,0.614813,0.40498,0.614813,0.373804,27.601,1.46171,1.46396,0.455113,0.510222,0.583289,0.440367,0.583289,0.398037,32.0208,0.427732,0.499832
2014_Sep_17_18_40_23,http://www.youtube.com/watch?v=3gVMN3Uiy60,0.077724,0.352572,16.112,0.438474,1.64383,0.564,1.91029,0.480271,0.398574,0.480271,0.335103,23.6434,4.25232,1.17687,0.23593,0.520983,0.47545,0.443771,0.47545,0.332559,28.7983,0.795423,0.497615
