traj_id,url,clearance,smoothness,path_length,max_acc,maxmin_joint_limit_distance,elbow_length,elbow_smoothness,elbow_max_curvature,elbow_lin_acc,elbow_quat_dist,tool_length,tool_smoothness,tool_max_curvature,tool_lin_acc,tool_quat_dist,wrist_length,wrist_smoothness,wrist_max_curvature,wrist_lin_acc,wrist_quat_dist,h_wrist_bfs,h_bfs_wrist,H_wrist_bfs,imh_wrist_bfs,h_elbow_bfs,h_bfs_elbow,H_elbow_bfs,imh_elbow_bfs,h_tool_bfs,h_bfs_tool,H_tool_bfs,imh_tool_bfs,h_wrist_elbow,h_elbow_wrist,H_wrist_elbow,imh_wrist_elbow,wrist_bfs_dtw,tool_bfs_dtw,elbow_bfs_dtw,wrist_tool_dtw
2014_Sep_17_18_39_22,http://www.youtube.com/watch?v=9sIZEtelkA4,0.0411169,0.639102,6.11531,0.872223,0.462495,0.416031,1.22637,0.521341,2.30358,1.35138,0.981083,0.631045,0.860848,5.64328,2.29321,0.730588,0.566778,0.841815,6.17246,2.29321,0.387927,0.321921,0.387927,0.279082,0.561536,0.494747,0.561536,0.496602,0.378273,0.219047,0.378273,0.217273,0.321,0.321,0.321,0.298481,7.85781,5.40595,12.6061,3.98958
2014_Sep_17_18_39_23,http://www.youtube.com/watch?v=uoyDa8pqSxU,0.0901432,0.192736,12.3546,0.890923,0.489555,0.71536,0.567515,0.884811,1.01337,2.41016,1.69778,0.274911,0.873427,4.48524,5.24467,1.24381,0.349596,0.708127,2.94204,5.24467,0.472623,0.189344,0.472623,0.228811,0.575753,0.392532,0.575753,0.394099,0.420808,0.216901,0.420808,0.232197,0.321,0.321,0.321,0.264979,12.4609,11.5981,22.9432,7.61923
2014_Sep_17_18_39_24,http://www.youtube.com/watch?v=7zk8K4YgZto,0.0922755,0.513671,9.91623,0.147916,0.494782,0.877942,1.05294,0.522965,0.791123,3.51731,2.20331,0.884897,0.855808,6.10553,4.88037,1.8166,0.853433,0.708388,3.98406,4.88037,0.762148,0.189344,0.762148,0.351167,0.637921,0.392547,0.637921,0.424315,0.799114,0.146447,0.799114,0.317664,0.321,0.321,0.321,0.302072,14.9512,12.628,19.2644,5.96161
2014_Sep_17_18_39_25,http://www.youtube.com/watch?v=xvz9LplSZ9w,0.0619998,0.263912,11.6499,1.40381,0.498456,0.432155,0.915746,0.52716,0.903648,2.22009,1.03652,0.732853,0.907813,3.84043,6.26802,1.01932,0.670547,0.644901,5.68507,6.26802,0.331784,0.189344,0.331784,0.18879,0.415408,0.3918,0.415408,0.350346,0.199169,0.12224,0.199169,0.102931,0.321,0.321,0.321,0.273741,10.1054,4.69309,19.8131,6.47168
2014_Sep_17_18_39_26,http://www.youtube.com/watch?v=Cxqyop66foo,0.117308,0.348874,9.01798,0.408857,0.495764,0.91059,0.390294,0.617521,1.76513,2.28391,1.92105,0.471929,1.24855,5.7539,3.39582,1.44321,0.36776,0.829434,3.32703,3.39582,0.753541,0.297869,0.753541,0.469591,0.68579,0.446912,0.68579,0.512911,0.812516,0.254004,0.812516,0.439188,0.321,0.321,0.321,0.309917,17.2817,16.2473,19.7312,5.80584
2014_Sep_17_18_39_27,http://www.youtube.com/watch?v=GkhKIkFQZfE,0.0405844,0.732667,4.53217,0.686332,0.491302,0.374531,0.452338,0.510756,1.69328,1.31252,0.62501,0.49032,0.839533,2.00795,1.18588,0.643483,0.454362,0.77278,2.29681,1.18588,0.29588,0.307746,0.307746,0.242059,0.467301,0.519908,0.519908,0.4271,0.164118,0.165327,0.165327,0.115006,0.321,0.321,0.321,0.31144,4.72827,2.04969,7.70763,3.06
2014_Sep_17_18_39_28,http://www.youtube.com/watch?v=robHwWU6zXA,0.0639911,0.625374,6.77268,0.979427,0.497124,0.287101,0.00857251,0.664441,1.48166,1.93969,0.745157,0.669207,1.28912,3.06528,1.85947,0.700373,0.611296,0.73388,2.00879,1.85947,0.366106,0.298163,0.366106,0.250719,0.466627,0.487334,0.487334,0.409379,0.186581,0.146647,0.186581,0.0997677,0.321,0.321,0.321,0.278511,7.2848,2.88333,11.4804,4.478
2014_Sep_17_18_39_29,http://www.youtube.com/watch?v=t7IBHY1VHyA,0.084863,0.526009,8.9606,1.2537,0.499294,0.459333,0.273204,0.519362,1.92997,1.49154,0.671971,0.371148,0.744306,3.42929,3.14162,0.481644,0.281682,3.15648,1.69516,3.14162,0.269922,0.191466,0.269922,0.198782,0.482398,0.43805,0.482398,0.422544,0.227221,0.116094,0.227221,0.114291,0.321,0.321,0.321,0.246285,7.78929,4.10814,16.1606,6.02861
2014_Sep_17_18_39_30,http://www.youtube.com/watch?v=G59jaDqGKqc,0.139217,0.430116,12.7107,0.966727,0.489705,1.07612,0.511879,0.550873,2.4729,2.76168,1.79948,0.390755,3.71252,8.07451,6.5347,1.45911,0.306318,1.50061,5.30173,6.5347,0.623113,0.184945,0.623113,0.306078,0.761785,0.426832,0.761785,0.516181,0.624488,0.112179,0.624488,0.241814,0.321,0.321,0.321,0.20411,16.8955,13.2624,28.2683,7.17356
2014_Sep_17_18_39_31,http://www.youtube.com/watch?v=Nw4veSupc2Y,0.095752,0.923548,6.01704,0.569892,0.489705,0.247099,0.33134,0.586845,0.0883728,2.72102,1.25312,0.864139,0.523701,9.37694,2.76291,0.88642,0.820306,0.513983,3.04384,2.76291,0.346397,0.226659,0.346397,0.217607,0.349257,0.426304,0.426304,0.312124,0.432675,0.259248,0.432675,0.243459,0.321,0.321,0.321,0.258447,5.75479,5.87715,8.62422,3.89939
